,12/1/2022,12/5/2022,12/6/2022
0:30,110,112,114
1:00,111,114,117
1:30,112,116,120
2:00,113,118,123
2:30,114,120,126
3:00,115,122,129
3:30,116,124,132
4:00,117,126,135
4:30,118,128,138
5:00,119,130,141
5:30,120,132,144
6:00,121,134,147
6:30,122,136,150
7:00,123,138,153
7:30,124,140,156
8:00,125,142,159
8:30,126,144,162
9:00,127,146,165
9:30,128,148,168
10:00,129,150,171
10:30,130,152,174
11:00,131,154,177
11:30,132,156,180
12:00,133,158,183
12:30,134,160,186
13:00,135,162,189
13:30,136,164,192
14:00,137,166,195
14:30,138,168,198
15:00,139,170,201
15:30,140,172,204
16:00,141,174,207
16:30,142,176,210
17:00,143,178,213
17:30,144,180,216
18:00,145,182,219
18:30,146,184,222
19:00,147,186,225
19:30,148,188,228
20:00,149,190,231
20:30,150,192,234
21:00,151,194,237
21:30,152,196,240
22:00,153,198,243
22:30,154,200,246
23:00,155,202,249
23:30,156,204,252
0:00,157,206,255
Total,6408,7632,8856
