,12/1/2022,12/5/2022,12/6/2022
0:30,300,210,208
1:00,300,211,209
1:30,300,212,210
2:00,300,213,211
2:30,300,214,212
3:00,300,215,213
3:30,300,216,214
4:00,300,217,215
4:30,300,218,216
5:00,300,219,217
5:30,300,220,218
6:00,300,221,219
6:30,300,222,220
7:00,300,223,221
7:30,300,224,222
8:00,300,225,223
8:30,300,226,224
9:00,300,227,225
9:30,300,228,226
10:00,300,229,227
10:30,300,230,228
11:00,300,231,229
11:30,300,232,230
12:00,300,233,231
12:30,300,234,232
13:00,300,235,233
13:30,300,236,234
14:00,300,237,235
14:30,300,238,236
15:00,300,239,237
15:30,300,240,238
16:00,400,241,239
16:30,400,242,240
17:00,500,243,241
17:30,300,244,242
18:00,300,245,243
18:30,300,246,244
19:00,300,247,245
19:30,300,248,246
20:00,300,249,247
20:30,300,250,248
21:00,300,251,249
21:30,300,252,250
22:00,300,253,251
22:30,300,254,252
23:00,300,255,253
23:30,300,256,254
0:00,300,257,255
Total,14800,11208,11112
