,12/1/2022,12/5/2022,12/6/2022
0:30,201,209,203
1:00,310,34,204
1:30,202,100,205
2:00,309,405,206
2:30,308,301,207
3:00,307,203,208
3:30,306,204,209
4:00,305,205,210
4:30,304,206,211
5:00,303,207,212
5:30,302,208,213
6:00,301,209,214
6:30,300,210,215
7:00,299,211,216
7:30,298,212,217
8:00,297,213,218
8:30,296,214,219
9:00,295,215,220
9:30,294,216,221
10:00,293,217,222
10:30,292,218,223
11:00,291,219,224
11:30,290,220,225
12:00,289,221,226
12:30,288,222,227
13:00,287,223,228
13:30,286,224,229
14:00,285,225,230
14:30,284,226,231
15:00,283,227,232
15:30,282,228,233
16:00,281,229,234
16:30,280,230,235
17:00,279,231,236
17:30,278,232,237
18:00,277,233,238
18:30,276,234,239
19:00,275,235,240
19:30,274,236,241
20:00,273,237,242
20:30,272,238,243
21:00,271,239,244
21:30,270,240,245
22:00,269,241,246
22:30,268,242,247
23:00,267,243,248
23:30,266,244,249
0:00,265,245,250
Total,13628,10681,10872
