,12/1/2022,12/5/2022,12/6/2022
0:30,100,110,140
1:00,100,110,140
1:30,100,110,140
2:00,100,110,140
2:30,100,110,140
3:00,100,110,140
3:30,100,110,140
4:00,100,110,140
4:30,100,110,140
5:00,100,110,140
5:30,100,110,140
6:00,100,110,140
6:30,100,110,140
7:00,100,110,140
7:30,100,110,140
8:00,100,110,140
8:30,100,110,140
9:00,100,110,140
9:30,100,110,140
10:00,100,110,140
10:30,100,110,140
11:00,100,110,140
11:30,100,110,140
12:00,100,110,140
12:30,100,110,140
13:00,100,110,140
13:30,100,110,140
14:00,100,110,140
14:30,100,110,140
15:00,100,110,140
15:30,100,110,140
16:00,100,110,140
16:30,100,110,140
17:00,100,110,140
17:30,100,110,140
18:00,100,110,140
18:30,100,110,140
19:00,100,110,140
19:30,100,110,140
20:00,100,110,140
20:30,100,110,140
21:00,100,110,140
21:30,100,110,140
22:00,100,110,140
22:30,100,110,140
23:00,100,110,140
23:30,100,110,140
0:00,100,110,140
Total,4800,5280,6720
